module_id,question,options,correct_answer,explanation
16,Who was the first patriarch of the Jewish people?,"[""Moses"", ""Isaac"", ""Abraham"", ""Jacob""]",2,Abraham is considered the first patriarch in Jewish tradition.
17,What significant event involved Abraham and Isaac?,"[""Crossing the Red Sea"", ""The Binding of Isaac"", ""Jacob’s Ladder"", ""Giving of the Law""]",1,The Binding of Isaac is a key moment of faith in Abraham's life.
21,Who was the son of Isaac that carried on the covenant?,"[""Esau"", ""Jacob"", ""Joseph"", ""Moses""]",1,Jacob received the blessing and continued the covenant.
300,What was the relationship between Jacob and Esau?,"[""Friends"", ""Father and son"", ""Twin brothers"", ""Enemies from different tribes""]",2,"Jacob and Esau were twin brothers, sons of Isaac and Rebekah."
301,What vision did Jacob have while fleeing from Esau?,"[""A burning bush"", ""A golden calf"", ""A ladder to heaven"", ""A city on a hill""]",2,Jacob dreamed of a ladder reaching to heaven with angels on it.
302,Why did Joseph’s brothers resent him?,"[""He was older"", ""He stole from them"", ""He had dreams and a special coat"", ""He was a priest""]",2,Joseph’s dreams and his colorful coat sparked jealousy.
303,Where did Joseph rise to power?,"[""Babylon"", ""Jerusalem"", ""Egypt"", ""Canaan""]",2,Joseph became a powerful leader in Egypt.
304,Why did Joseph’s family come to Egypt?,"[""To escape slavery"", ""To find gold"", ""Because of a famine"", ""To build a temple""]",2,A famine led Joseph’s family to Egypt for food.
305,Why was Moses hidden as a baby?,"[""To avoid the Egyptians"", ""Because of a prophecy"", ""Due to Pharaoh's decree to kill Hebrew boys"", ""To join a caravan""]",2,Pharaoh ordered all Hebrew baby boys to be killed.
306,Who found baby Moses in the river?,"[""A Hebrew nurse"", ""An Egyptian soldier"", ""Pharaoh’s daughter"", ""A merchant""]",2,Pharaoh’s daughter discovered Moses and raised him.
307,Where did Moses see the burning bush?,"[""Mount Sinai"", ""The Red Sea"", ""Midian"", ""Jericho""]",2,Moses encountered the burning bush in the wilderness near Midian.
308,What did Moses ask Pharaoh to do?,"[""Give him land"", ""Let his people go"", ""Build a temple"", ""Join a treaty""]",1,Moses demanded that Pharaoh let the Israelites go.
309,How many plagues did God send on Egypt?,"[""5"", ""7"", ""10"", ""12""]",2,Ten plagues were sent as divine judgment on Egypt.
310,What event marks the Israelites’ escape from Egypt?,"[""Crossing the Jordan"", ""Passover"", ""Red Sea crossing"", ""Giving of the Law""]",2,Crossing the Red Sea marks their final escape from Egypt.
311,How did God part the Red Sea?,"[""With wind"", ""With Moses’ staff"", ""With fire"", ""With thunder""]",1,God parted the sea through Moses’ staff and a strong east wind.
312,What did the people find at Marah?,"[""Honey"", ""Sweet water"", ""Bitter water"", ""Nothing""]",2,"They found bitter water, which God made sweet."
313,What food did God provide in the desert?,"[""Bread and wine"", ""Fruit"", ""Manna and quail"", ""Fish and olives""]",2,God provided manna in the morning and quail in the evening.
314,How did Moses provide water at Rephidim?,"[""From a spring"", ""By praying"", ""By striking a rock"", ""By digging a well""]",2,"Moses struck the rock, and water flowed out."
315,Where did God give the Ten Commandments?,"[""Jericho"", ""Mount Nebo"", ""Mount Sinai"", ""Bethlehem""]",2,God gave the law to Moses on Mount Sinai.
316,What were the Ten Commandments written on?,"[""Scrolls"", ""Sheep skins"", ""Stone tablets"", ""Clay pots""]",2,They were inscribed on stone tablets by God.
317,What type of laws did God give in addition to the Ten Commandments?,"[""Only moral laws"", ""Only sacrificial laws"", ""Civil, moral, and ceremonial laws"", ""No other laws""]",2,God provided a comprehensive law system covering all aspects of life.
318,What did the Israelites build while waiting for Moses?,"[""A new temple"", ""An idol in the shape of a calf"", ""A golden chariot"", ""An altar of stones""]",1,They made a golden calf and worshiped it.
319,How did Moses respond to Israel’s sin with the golden calf?,"[""He ignored it"", ""He asked for their punishment"", ""He destroyed the tablets and interceded"", ""He left the people""]",2,Moses shattered the tablets and pleaded for their forgiveness.
320,What was the Tabernacle?,"[""A giant altar"", ""A mobile temple"", ""A throne"", ""A holy book""]",1,The Tabernacle was a portable dwelling place for God’s presence.
321,What indicated God’s presence in the Tabernacle?,"[""Incense"", ""Sacrifice"", ""A cloud and fire"", ""Music""]",2,A cloud by day and fire by night showed God's presence.
322,What happened to Nadab and Abihu?,"[""They became kings"", ""They were promoted"", ""They were consumed by fire"", ""They led worship successfully""]",2,They died after offering unauthorized fire before God.
323,Why did God order a census in the wilderness?,"[""To count the animals"", ""To measure wealth"", ""To organize the camp"", ""To punish the people""]",2,God used the census to structure Israel's camp around the Tabernacle.
