id,title,description,journey_id,position,content_type,is_journey_module,image_url,chapter_id,status,era,level,xp_reward,duration,image_urls,story_content,transition_question,prompt,character,year
200,The Early Rus (9th-13th Century),"The formation of Kievan Rus, its culture, trade, and decline.",1,1,Story,TRUE,,1,published,russian,1,50,2,,"In the 9th century, the lands of Kievan Rus were home to a diverse and powerful culture. From the frozen shores of the White Sea to the steppes of Ukraine, a rich tapestry of Slavic tribes had begun to coalesce, forming a loose federation of peoples who thrived under the leadership of a strong ruler.</em><p><br><p>In the midst of this, a ruler named Rurik rose to power. The Viking prince from Scandinavia sought to unify these tribes and bring peace to the land. Through warfare, diplomacy, and cunning, he laid the foundation of a kingdom that would shape the history of Eastern Europe for centuries to come.",,,,900
201,The Mongol Invasion (13th Century),"The invasion of the Mongols, its impact on Russian society and politics.",1,2,Story,TRUE,,1,published,russian,2,50,2,,"The Mongol invasion swept across Russia like a storm, leaving devastation in its wake. As the Golden Horde descended upon the Rus, the once-proud cities of Kievan Rus crumbled under the weight of foreign conquest. The Mongol yoke, harsh and relentless, would mark Russia for generations.</em><p><br><p>The people of Rus, though crushed by the invasion, began to rebuild. From the ashes of their fallen cities, the Grand Duchy of Moscow emerged, determined to break free from Mongol domination. The rise of Moscow would mark the beginning of Russia’s long road to unification and power.",,,,1300
202,The Grand Duchy of Moscow (14th-15th Century),The rise of Moscow and the consolidation of Russian lands.,1,3,Story,TRUE,,1,published,russian,3,50,2,,"In the 14th century, the Grand Duchy of Moscow emerged as a powerful force in the Russian lands. At the time, the region was fragmented and dominated by a series of Mongol overlords, but Moscow began to rise as the seat of power. Under the leadership of Ivan I and his successors, Moscow's influence steadily grew, as it forged alliances and expanded its territory through both diplomacy and military conquest.</em><p><br><p>In 1380, the Battle of Kulikovo marked a key turning point, when Moscow...",,,,1400
203,Ivan III and the Birth of the Russian Empire (1462-1505),Ivan III's role in unifying Russia and its break from the Mongol Empire.,1,4,Story,TRUE,,1,published,russian,4,50,2,,"In the 15th century, the winds of change were stirring in the heart of Russia. Ivan III, known as Ivan the Great, ascended to the throne with a vision to unite the scattered Russian territories under one banner. With an iron will and shrewd diplomacy, Ivan cast off the Mongol yoke, reclaiming independence for the Russian people.</em><p><br><p>Under his leadership, Moscow became the center of Russian power, and Ivan’s reign laid the groundwork for the rise of the Russian Empire. His lega...",,,,1462
204,Ivan the Terrible (1533-1584),"The reign of Ivan IV, the establishment of autocracy, and the Oprichnina.",1,5,Story,TRUE,,1,published,russian,5,50,2,,"Ivan IV, known as Ivan the Terrible, was a man of both great ambition and madness. His reign saw Russia grow into a powerful empire, but it also witnessed a descent into tyranny. The Oprichnina, a brutal campaign of repression, left a trail of fear and bloodshed.</em><p><br><p>Despite his cruelty, Ivan’s rule was transformative. He expanded Russia’s borders and reformed the Russian military. His reign would go down in history as one of the most brutal but defining in Russia’s early history.",,,,1533
205,The Time of Troubles (1598-1613),"A period of instability, famine, and foreign intervention.",1,6,Story,TRUE,,1,published,russian,6,50,2,,"The Time of Troubles in Russia was a dark chapter in its history, marked by chaos and instability. After the death of Ivan the Terrible’s son, the country was plunged into a period of famine, civil war, and foreign invasion.</em><p><br><p>As the Russian people struggled to survive, the Romanov dynasty emerged as the savior of the Russian state. In 1613, Michael Romanov was crowned tsar, and the Romanov family would go on to rule Russia for over three centuries, bringing stability and strength to the nation once again.",,,,1598
206,The Romanov Dynasty Begins (1613),The establishment of the Romanov dynasty and the stabilization of Russia.,1,7,Story,TRUE,,1,published,russian,7,50,2,,"In 1613, amidst the turmoil of the Time of Troubles, a young man named Michael Romanov was chosen to become Tsar of Russia, marking the beginning of the Romanov dynasty. The Time of Troubles had left Russia in disarray, with competing factions and foreign invasions destabilizing the realm. The Romanovs, emerging as a solution to the chaos, were granted power in hopes of restoring order to the fractured nation.</em><p><br><p>Michael Romanov's ascension to the throne represented a fresh start for ...",,,,1613
207,Peter the Great (1682-1725),"Peter I’s reforms, modernization, and expansion of the Russian Empire.",1,8,Story,TRUE,,1,published,russian,8,50,2,,"Peter the Great, a towering figure in Russian history, sought to transform Russia into a European power. His reign was defined by reforms that modernized the Russian military, economy, and society. He sought to open Russia to the West and forged a new capital, St. Petersburg, on the shores of the Neva River, a city that would symbolize Russia’s future.</em><p><br><p>Peter's reforms were often brutal, but they laid the foundation for a Russia that would rival the great powers of Europe. His legacy, though controversial, would shape Russia for centuries.",,,,1682
208,Catherine the Great (1762-1796),Her reign as a period of enlightenment and territorial expansion.,1,9,Story,TRUE,,1,published,russian,9,50,2,,"Catherine the Great, the German princess who became one of Russia’s greatest tsars, ruled with intelligence, ambition, and a vision for her country. Under her reign, Russia expanded its borders, gaining territories in the Black Sea region and the Crimea.</em><p><br><p>Known for her enlightenment ideals, Catherine also made significant strides in the arts and culture. She established Russia as one of the leading European powers, and her reign marked the height of Russia’s imperial glory.",,,,1762
209,The Napoleonic Wars and Russia's Role (1812-1815),Russia’s involvement in the defeat of Napoleon and the Congress of Vienna.,1,10,Story,TRUE,,1,published,russian,10,50,3,," The Napoleonic Wars were a time of great turmoil for Russia. As Napoleon sought to conquer Europe, the Russian Empire stood as one of the few powers capable of halting his advance. In 1812, Napoleon invaded Russia, leading to the infamous Battle of Borodino.</em><p><br><p>But the Russian forces, though outnumbered, refused to yield. The Russian winter, coupled with scorched earth tactics, played a decisive role in defeating Napoleon. This victory would cement Russia’s reputation as a formidable force in Europe.,",,,,1812
