id,title,description,journey_id,position,content_type,is_journey_module,image_url,chapter_id,status,era,level,xp_reward,duration,image_urls,story_content,transition_question,prompt,character,year
96,Pre-Colonial America,Native American cultures and societies before European contact.,76,1,Story,TRUE,,76,published,america,1,50,2,,"In the vast lands of North America, before any European arrived, diverse Native American cultures flourished. From the Navajo's intricate weaving to the Iroquois' powerful confederacy, the continent was a tapestry of civilizations. These societies were deeply connected to the land, their traditions passed down through generations, living in harmony with nature long before colonial expansion.</p>,",,,,
97,European Colonization of America,"Early settlements: Spanish, French, Dutch, and English. The Jamestown colony, the Pilgrims, and the founding of Plymouth.",76,2,Story,TRUE,,76,published,america,2,50,2,,"    As European ships set sail towards the New World, they brought with them hopes of riches and new lands. Spanish conquistadors sought gold, the French sought fur, the Dutch sought trade, and the English sought colonies. Jamestown, the first permanent English settlement, struggled to survive, but it was the Pilgrims who founded Plymouth, symbolizing the quest for religious freedom. The seeds of a new nation were being sown on foreign soil.</p>,",,,,
98,The American Revolution (1775–1783),"Causes, events, key battles, Treaty of Paris, and American independence.",76,3,Story,TRUE,,76,published,america,3,50,2,,"    The American Revolution ignited a spark that would forever change the world. Colonists, once loyal to the British crown, found themselves fighting for freedom and self-determination. The battlefields of Lexington and Concord marked the beginning, and heroes like George Washington and Thomas Jefferson led the way. The Treaty of Paris sealed their victory, and a new nation—independent and free—was born.</p>,",,,,
99,The Constitution and Bill of Rights (1787–1791),"Framing of the Constitution, the Bill of Rights, and the principles of American government.",76,4,Story,TRUE,,76,published,america,4,50,2,,"    In 1787, the framers of the Constitution gathered to create a new system of government, one that would balance power between the states and the federal government. The Bill of Rights, ratified in 1791, enshrined personal freedoms like speech, religion, and assembly. This new framework of government was a bold experiment that would come to shape the future of the world.</p>,",,,,
100,The Presidency of George Washington,"Early leadership, challenges, and foreign policy during Washington's presidency.",76,5,Story,TRUE,,76,published,america,5,50,2,,"    George Washington, the first president of the United States, faced the enormous task of leading a new nation. His leadership would set the precedent for all future presidents. From navigating foreign alliances to establishing the cabinet, Washington's presidency was foundational in setting the course for American democracy.</p>,",,,,
101,The War of 1812,"Causes, major events, and the U.S. struggle for national identity.",76,6,Story,TRUE,,76,published,america,6,50,2,,"    The War of 1812 was America's struggle to assert its independence once again. Against the backdrop of British naval blockades and impressment of American sailors, the young nation stood its ground. The war ended in a stalemate, but it bolstered national pride and reaffirmed the United States' sovereignty.</p>,",,,,
102,Andrew Jackson and the Rise of the Democratic Party,"Jackson’s populism, the Indian Removal Act, and the rise of the two-party system.",76,7,Story,TRUE,,76,published,america,7,50,2,,"    Andrew Jackson rose from humble beginnings to lead the United States through a tumultuous period. His populist ideals reshaped the American political landscape, marking the rise of the Democratic Party. But his presidency was also marred by the forced relocation of Native American tribes, known as the Trail of Tears, a dark chapter in American history.</p>,",,,,
103,Westward Expansion and Manifest Destiny,"The Louisiana Purchase, Mexican-American War, the Gold Rush, and the ideology of Manifest Destiny.",76,8,Story,TRUE,,76,published,america,8,50,2,,"    The American frontier expanded as the United States embraced Manifest Destiny—the belief that it was destined to stretch from the Atlantic to the Pacific. The Louisiana Purchase doubled the size of the country, and the Mexican-American War secured territories that would become part of the American West. The Gold Rush brought fortune seekers, and the spirit of expansion fueled American ambition.</p>,",,,,
104,The Civil War (1861–1865),"Causes, battles, key figures, and the war's impact on slavery and the Union.",76,9,Story,TRUE,,76,published,america,9,50,2,,"    The Civil War was a cataclysmic event in American history. The nation was divided over the issue of slavery, and brother fought against brother. The battles of Gettysburg and Antietam became symbols of the sacrifices made for freedom. Ultimately, the Union was preserved, and the Emancipation Proclamation freed the enslaved, forever changing the nation's social fabric.</p>,",,,,
105,Reconstruction (1865–1877),"Efforts to rebuild the South, the 13th, 14th, and 15th Amendments, and the struggle for civil rights for African Americans.",76,10,Story,TRUE,,76,published,america,10,50,2,,"    Reconstruction was a time of rebuilding and reckoning. The South lay in ruins, and former slaves sought freedom and equality. The 13th, 14th, and 15th Amendments abolished slavery, granted citizenship, and protected voting rights for African Americans. Yet, the struggle for civil rights was far from over, as the country wrestled with its past and future.</p>,",,,,
