id,title,description,journey_id,position,content_type,is_journey_module,image_url,chapter_id,status,era,level,xp_reward,duration,image_urls,story_content,transition_question,prompt,character,year
57,The Messiah is Born,Test,4,1,Story,TRUE,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Russian_nativity_icon.jpg/800px-Russian_nativity_icon.jpg,4,published,christian,1,50,2,,"<p>The night was still, the stars above twinkling in a sky that had never known such a moment. In a humble stable in Bethlehem, a child was born—this child would change the world forever. His name was Jesus, and the world had waited for this moment for generations.</em></p><p><br></p><p>The prophecy had been told: a Savior would be born to bring hope and salvation. This baby, wrapped in swaddling clothes, was that promise fulfilled. His birth, humble as it was, marked the beginning of a new hope.</p>",,,test,0
58,Jesus Ministry,Test,4,2,Story,TRUE,,4,published,christian,2,50,2,,"<p>In the dusty streets of Galilee, a man stood before the crowds, his words filled with authority and love. Jesus of Nazareth, the carpenter’s son, spoke not with the voice of a ruler, but with the heart of a shepherd.</em></p><p><br></p><p>He preached about love, forgiveness, and the coming Kingdom of God. His message was simple, but it challenged the very foundations of the world. He healed the sick, gave sight to the blind, and raised the dead. He was not just a teacher; He was the fulfillment of Gods promises.</p>",,,test,27
59,The Disciples,Test,4,3,Story,TRUE,,4,published,christian,3,50,2,,"<p>One by one, Jesus called them. Ordinary men, fishermen, tax collectors, and others with no special status. Yet, to these men, Jesus entrusted the message of God’s love and salvation. These were the disciples—Peter, James, John, and others who would walk beside Him through the trials and miracles that would shape their lives forever.</em></p><p><br></p><p>They learned from Him, lived with Him, and witnessed His miracles. They saw Jesus as the Messiah, the chosen one, the Savior who would redeem Israel.</p>",,,,30
60,The Sermon on the Mount,Test,4,4,Story,TRUE,,4,published,christian,4,50,2,,"<p>The wind was calm as Jesus ascended the mountain, and the crowds followed Him, eager to hear His words. As He began to speak, the world seemed to pause—His words were unlike any they had ever heard.</em></p><p><br></p><p>“Blessed are the poor in spirit,” He said, “for theirs is the kingdom of heaven.” The Beatitudes, a collection of blessings for the meek, the merciful, and the peacemakers, rang out across the hills, offering a new vision of God’s Kingdom, one that would transform the hearts of many.</p>",,,,30
61,The Miracles of Jesus,Test,4,5,Story,TRUE,,4,published,christian,5,50,2,,"<p>Jesus’ miracles were not just acts of power—they were signs of His divine nature and His mission to heal the broken world. From turning water into wine to feeding thousands with a small offering of fish and bread, He showed the world that God’s love knew no bounds.</em></p><p><br></p><p>He healed the sick, gave sight to the blind, and even raised the dead. With every miracle, He invited people to believe, not just in the signs themselves, but in the God who had sent Him.</p>",,,,30
62,The Parables of Jesus,Test,4,6,Story,TRUE,,4,published,christian,6,50,2,,"<p>Jesus spoke in parables—stories that seemed simple at first but carried deep, divine truths. To the crowds, they were tales about lost sheep, good Samaritans, and seeds that fell on different soils. But to those with ears to hear, they were glimpses into the very heart of God.</em></p><p><br></p><p>Through these stories, Jesus taught about the Kingdom of God, forgiveness, and the true nature of love. Each parable invited listeners to look beyond the surface and seek deeper meaning.</p>",,,,30
63,The Last Supper,Test,4,7,Story,TRUE,,4,published,christian,7,50,2,,"<p>It was the final meal Jesus shared with His disciples before His arrest. As they sat around the table, the weight of the moment was heavy. Jesus took the bread, broke it, and said, “This is my body, given for you.” He then took the wine and said, “This is my blood, poured out for the forgiveness of sins.”</em></p><p><br></p><p>This was the institution of the Eucharist, the sacrament that would forever symbolize Jesus sacrifice. The Last Supper marked the beginning of His passion, as He prepared His disciples for the trials to come.</p>",,,,30
64,The Crucifixion of Jesus,Test,4,8,Story,TRUE,,4,published,christian,8,50,2,,"<p>The sky darkened as Jesus was nailed to the cross. The crowd jeered, but in His heart, Jesus prayed, “Father, forgive them, for they do not know what they are doing.”</em></p><p><br></p><p>With His death, the world stood still. For Christians, the crucifixion was the ultimate act of love and sacrifice. Jesus gave His life to reconcile humanity with God. His blood was shed so that the sins of mankind could be forgiven, and hope could be restored through His resurrection.</p>",,,,30
65,The Resurrection of Jesus,Test,4,9,Story,TRUE,,4,published,christian,9,50,2,,"<p>On the third day, as dawn broke over the earth, something miraculous happened. The stone was rolled away, and the tomb that had held Jesus body was empty. He had risen.</em></p><p><br></p><p>Jesus resurrection proved that death had no power over Him. It confirmed His divine nature and fulfilled His promise of eternal life for those who believe in Him. His victory over death was the cornerstone of the Christian faith, offering hope of resurrection and eternal life to all believers.</p>",,,,30
66,The Ascension of Jesus,Test,4,10,Story,TRUE,,4,published,christian,10,50,2,,"<p>After appearing to His disciples for forty days, teaching them and confirming His resurrection, Jesus ascended into heaven. As they watched, He was taken up in a cloud, leaving them with a promise: He would return again.</em></p><p><br></p><p>The Ascension marked the end of Jesus physical presence on earth, but His mission would continue through His followers. The disciples were now empowered to spread His message to the ends of the earth, guided by the Holy Spirit.</p>",,,,30
67,Pentecost and the Birth of the Church,Test,4,11,Story,TRUE,,4,published,christian,11,50,2,,"<p>On the day of Pentecost, the Holy Spirit descended upon the disciples, filling them with power and the ability to speak in tongues. The once timid followers of Jesus were transformed into bold witnesses, preaching the Gospel to people from every nation.</em></p><p><br></p><p>That day, three thousand people were baptized, and the Christian Church was born. The message of salvation through Jesus Christ began to spread rapidly, fueled by the power of the Holy Spirit.</p>",,,,30
68,The Apostle Pauls Conversion,Test,4,12,Story,TRUE,,4,published,christian,12,50,2,,"<p>Saul of Tarsus was a man consumed with hatred for Christians, traveling far and wide to persecute them. But on the road to Damascus, everything changed. A light from heaven struck him, and a voice said, “Saul, Saul, why are you persecuting me?”</em></p><p><br></p><p>Saul was blinded, but he was healed by a disciple named Ananias. His sight was restored, and he was baptized, taking the name Paul. Paul became one of Christianitys greatest missionaries, spreading the message of Jesus throughout the Roman Empire.</p>",,,,34
69,The Missionary Journeys of Paul ,Test,4,13,Story,TRUE,,4,published,christian,13,50,2,,"<p>After his dramatic conversion on the road to Damascus, Saul, now known as Paul, embarked on a series of missionary journeys that would spread Christianity across the Mediterranean world. He traveled through cities like Antioch, Corinth, Ephesus, and Rome, preaching about Jesus and establishing Christian communities.</em></p><p><br></p><p>Pauls letters, written to these early Christian communities, became foundational texts for Christian theology and helped shape Christian thought...</p>",,,,46
70,The Council of Jerusalem ,Test,4,14,Story,TRUE,,4,published,christian,14,50,2,,"<p>In the early days of Christianity, a question arose: Should Gentile (non-Jewish) converts to Christianity be required to follow Jewish law? This issue was resolved at the Council of Jerusalem in approximately 50 AD, where it was decided that Gentiles did not need to be circumcised or adhere to all Jewish laws, marking a significant moment in the development of Christianity as a distinct faith.</em></p><p><br></p><p>The councils decision helped solidify Christianity as open to all peoples...</p>",,,,50
71,Early Christian Persecution ,Test,4,15,Story,TRUE,,4,published,christian,15,50,2,,"<p>As Christianity began to spread throughout the Roman Empire, it faced significant opposition. Early Christians were persecuted for their beliefs, accused of atheism and subversion. Despite the threats of imprisonment, torture, and execution, many Christians remained steadfast in their faith, often choosing martyrdom rather than renouncing Christ.</em></p><p><br></p><p>Some of the most famous martyrs include Saints Peter and Paul, whose deaths in Rome symbolized the triumph of faith over fear...</p>",,,,30
72,The Spread of Christianity through the Roman Empire ,Test,4,16,Story,TRUE,,4,published,christian,16,50,2,,"<p>The Roman Empire, with its vast network of roads, trade routes, and cities, provided a fertile ground for the spread of Christianity. Early Christians used these routes to travel and establish new communities. Christianity grew quietly at first, but by the 4th century, it had spread throughout the empire, eventually becoming the dominant faith.</em></p><p><br></p><p>The Roman Empire’s eventual acceptance of Christianity helped it to flourish and become a global religion...</p>",,,,100
73,Constantine and the Edict of Milan ,Test,4,17,Story,TRUE,,4,published,christian,17,50,2,,"<p>In 313 AD, Emperor Constantine issued the Edict of Milan, which granted religious tolerance to all religions, including Christianity. This was a pivotal moment in Christian history, as it ended the persecution of Christians and allowed them to practice their faith openly.</em></p><p><br></p><p>Constantine’s conversion to Christianity and his subsequent support for the Church helped lay the groundwork for Christianity to become the official religion of the Roman Empire...</p>",,,,313
74,The Council of Nicaea ,Test,4,18,Story,TRUE,,4,published,christian,18,50,2,,"<p>In 325 AD, Emperor Constantine convened the First Council of Nicaea to address theological disputes within the Christian community. The council produced the Nicene Creed, which affirmed the belief in the divinity of Jesus Christ and established the foundation of Christian orthodoxy.</em></p><p><br></p><p>The Council of Nicaea was a crucial moment in Christian history, as it helped to unify the Church and solidify key doctrines that would define Christianity for centuries...</p>",,,,325
75,The Fall of the Western Roman Empire ,Test,4,19,Story,TRUE,,4,published,christian,19,50,2,,"<p>The Western Roman Empire fell in 476 AD, marking the end of ancient Rome and the beginning of the Middle Ages. The decline of the empire was due to a combination of internal strife, economic troubles, and invasions by barbarian tribes like the Visigoths and Vandals.</em></p><p><br></p><p>Despite the collapse of the empire, Christianity survived and even thrived, as the Church became a stabilizing force in Europe during the ensuing centuries of chaos and disorder...</p>",,,,476
