id,title,description,journey_id,position,content_type,is_journey_module,image_url,chapter_id,status,era,level,xp_reward,duration,image_urls,story_content,transition_question,prompt,character,year,code
615,Chaos and the Birth of the Gods,test,20,1,Story,TRUE,https://static.wikia.nocookie.net/greek-myth933/images/0/02/Chaos%26Gaia.webp/revision/latest?cb=20211106200812,20,published,greek,1,50,2,,"<p>Chaos was not a god, but a vast, endless void. No stars, no sun. Just raw existence, swirling in silence.</p><p><br></p> <p>Then, from the emptiness, came the first forces of creation: - **Gaia**, the Earth—solid, strong, alive. - **Tartarus**, the Abyss—deep beneath all things. - **Eros**, desire—the force that makes things move and grow. - **Nyx**, the Night—and her shadowy children like Death and Sleep.</p><p><br></p> <p>Gaia, alone, gave birth to **Uranus**, the Sky. He rose above her, wrapping the world in starry night. Together, they created the first divine family: the **Titans**, the **Cyclopes**, and the **Hundred-Handed Giants**.</p><p><br></p> <p>But Uranus feared the power of their children. He cast them into the depths of Gaia, burying them alive. Gaia, aching with rage, called on her son **Cronos** to end the tyranny.</p><p><br></p> <p>And so Cronos took the sickle. In the stillness of the night, he rose up, struck his father from the sky, and began a new age—the age of the Titans.</p><p><br></p> <p><em>But the cycle of power—and rebellion—had only just begun.</em></p>**",test,test,test,5000 BC,greek
616,The Titans and the Rise of Zeus,test,20,2,Story,TRUE,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Jupiter_Smyrna_Louvre_Ma13.jpg/800px-Jupiter_Smyrna_Louvre_Ma13.jpg,20,published,greek,2,50,2,,"When Cronos overthrew his father Uranus, the world changed—but not for the better. Cronos, the Titan of time, ruled the cosmos in fear. For before Uranus vanished, he cursed his son: “You too will fall by your own child.” Cronos heard the prophecy and trembled. Determined to escape fate, he swallowed each of his children the moment they were born—Hestia, Demeter, Hera, Hades, and Poseidon—one by one, consumed by their own father. But his wife, Rhea, was filled with sorrow. When her sixth child was born, she hid him away on the island of Crete. She wrapped a stone in cloth and gave it to Cronos instead. Cronos, blind with fear, devoured the stone, believing he was safe. The hidden child was Zeus. Raised in secret, he drank the milk of a magical goat and trained in silence. As Zeus grew, so did his strength. One day, he returned to confront Cronos. With a trick, he forced Cronos to vomit up his siblings, now fully grown. Reunited at last, the children of Cronos prepared for war. The Titans would not surrender. But Zeus had lightning in his hands—and destiny on his side.",,,,5000 BC,greek
617,The Twelve Olympians,test,20,3,Story,TRUE,https://upload.wikimedia.org/wikipedia/commons/3/3a/Greek_-_Procession_of_Twelve_Gods_and_Goddesses_-_Walters_2340.jpg,20,published,greek,3,50,2,,"With Cronos defeated, the age of the Titans ended—but a new order had to rise. Zeus and his siblings divided the world among themselves and became the rulers of Mount Olympus. These gods were known as the Twelve Olympians. Each had their own realm, personality, and symbol. Zeus, king of the gods, ruled the sky and thunder. Poseidon ruled the sea, with his mighty trident. Hades ruled the underworld, though he was not usually counted among the Olympians because he lived below. Hera, queen of the gods, was goddess of marriage. Demeter governed the harvest and the seasons. Hestia, goddess of the hearth, symbolized the home and family. Later, others joined or replaced them. Athena, born from Zeus’s head, became goddess of wisdom and war strategy. Apollo, god of the sun, music, and prophecy, brought light and inspiration. His twin sister, Artemis, ruled the hunt and the moon. Ares was the god of war, fierce and hated even by the other gods. Aphrodite, goddess of beauty, could sway gods and mortals alike with desire. Hephaestus forged weapons in fire, and Hermes, the messenger, moved swiftly between worlds. Together, they formed a divine family—powerful, proud, and full of rivalry. Their stories would shape every part of Greek life: love, war, nature, and fate itself. To understand ancient Greece is to know these gods.",,,,5000 BC,greek
618,Prometheus and the Gift of Fire,test,20,4,Story,TRUE,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Heinrich_fueger_1817_prometheus_brings_fire_to_mankind.jpg/800px-Heinrich_fueger_1817_prometheus_brings_fire_to_mankind.jpg,20,published,greek,4,50,2,,"Not all gods stood with Zeus. Some looked to mortals instead. Among them was Prometheus, a Titan who loved humanity. When Zeus created humans from clay, he gave them life—but not power. They were weak, cold, and afraid. Zeus wanted it that way. He believed humans should remain humble and dependent on the gods. But Prometheus disagreed. He saw potential in mankind. Secretly, he stole fire from Olympus—fire that belonged only to the gods—and gave it to humans. With fire, they could cook, forge weapons, build homes, and survive the night. It was the beginning of civilization. Zeus was enraged. As punishment, he chained Prometheus to a rock in the Caucasus Mountains. Every day, an eagle came to eat his liver—and every night, it grew back. For centuries, he suffered alone. But his gift had changed the world forever. Prometheus became a symbol of rebellion, sacrifice, and the power of knowledge. In Greek thought, he represented a deeper question: Should power be reserved for the few—or shared with all?",,,,5000 BC,greek
619,The Creation of Man and the Ages of Humanity,test,20,5,Story,TRUE,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Thomas_Cole_-_Prometheus_Bound_-_Google_Art_Project.jpg/1920px-Thomas_Cole_-_Prometheus_Bound_-_Google_Art_Project.jpg,20,published,greek,5,50,2,,"The gods not only ruled the world—they shaped humanity itself. The ancient Greeks believed mankind had not always lived as it does now. Hesiod, a Greek poet, told of five great ages of humans, each one falling further from the divine. First came the Golden Age, when humans lived like gods—without pain, war, or work. It was a time of peace and plenty. But Zeus ended it. The Silver Age followed: people lived long, foolish lives and disrespected the gods. Zeus destroyed them. Then came the Bronze Age, a violent generation obsessed with war and weapons. They wiped themselves out. After them came the Heroic Age—brief and glorious—filled with the legends of Troy and Thebes. Finally came the Iron Age, the time of the poet himself. It was an age of toil, lies, injustice, and suffering. Each age marked a decline, a warning. The Greeks believed humanity had fallen from divine grace—and only through piety, justice, and wisdom could balance be restored. The myth wasn’t just a story. It was a mirror.",,,,5000 BC,greek
620,Persephone and the Seasons,test,20,6,Story,TRUE,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/AMI_-_Isis-Persephone.jpg/800px-AMI_-_Isis-Persephone.jpg,20,published,greek,6,50,2,,"Why do the seasons change? The Greeks answered with a myth of love, loss, and compromise. Persephone, daughter of Demeter, was the goddess of spring—youthful, bright, and full of life. One day, while picking flowers in a meadow, the earth split open. From below rose Hades, god of the underworld. In a flash, he seized her and vanished into the shadows. Demeter searched the world in grief. As the goddess of the harvest, her sorrow was felt by all. Crops withered. Famine spread. Even the gods began to worry. Finally, Zeus sent Hermes to retrieve Persephone. But it was too late—she had eaten six pomegranate seeds in the underworld. And that meant she could not fully return. A deal was struck: Persephone would spend six months each year with Hades, and six months with her mother. When she returned to the earth, Demeter rejoiced—spring and summer bloomed. When she left, Demeter mourned—fall and winter came. Through this myth, the Greeks explained not just the seasons, but the cycle of life itself: joy and sorrow, growth and decay, death and rebirth.",,,,5000 BC,greek
621,"Heroes and Monsters: Medusa, Minotaur, and Hydra",test,20,7,Story,TRUE,,20,published,greek,7,50,2,,"The ancient Greeks filled their world with monstersâ€”symbols of chaos, fear, and the unknown. Facing them were the heroes, mortals with courage, strength, or divine blood. One of the most feared monsters was Medusa. Once a beautiful woman, she was cursed by Athena. Her hair turned to snakes, and her gaze could turn men to stone. She was defeated by Perseus, who used a mirrored shield to avoid her deadly eyes. In Crete, the Minotaurâ€”a half-man, half-bullâ€”was kept in a twisting labyrinth. Each year, Athens sent children as tribute, until Theseus ended it. Another hero, Heracles, faced the Hydra, a serpent with many heads that grew back when cut. These stories taught courage, cleverness, and the fight against chaos.",,,,5000 BC,greek
622,Heracles and His Twelve Labors,test,20,8,Story,TRUE,,20,published,greek,8,50,2,,"Heracles, known to the Romans as Hercules, was the greatest hero of Greek myth. The son of Zeus and a mortal woman, he was gifted with immense strengthâ€”but cursed with a tragic fate. Driven mad by Hera, he killed his wife and children. In grief, he begged for forgiveness. As punishment and redemption, he was given twelve impossible labors. He fought the Nemean Lion, whose skin no weapon could pierce. He battled the nine-headed Hydra, which grew two heads for each one cut. He captured the Golden Hind, cleaned the Augean stables in a day, and even fetched the three-headed dog Cerberus from the underworld. Through pain and duty, Heracles became a symbol of endurance and redemption.",,,,5000 BC,greek
623,Theseus and the Labyrinth,test,20,9,Story,TRUE,,20,published,greek,9,50,2,,"Athens once paid tribute to the island of Creteâ€”seven boys and seven girls sent to be eaten by the Minotaur, a monstrous creature locked inside a labyrinth. But one day, Theseus, prince of Athens, volunteered to end the curse. With the help of Ariadne, daughter of King Minos, he entered the maze. She gave him a sword and a thread to mark his path. Deep in the darkness, Theseus faced the Minotaur and slew it. He followed the thread back to freedom. This myth became more than a tale of courageâ€”it was a lesson in strategy, love, and sacrifice.",,,,5000 BC,greek
624,The Trojan War Begins,test,20,10,Story,TRUE,,20,published,greek,10,50,2,,"The seeds of the Trojan War were planted at a divine wedding. All the gods were invitedâ€”except Eris, goddess of discord. Enraged, she threw a golden apple into the crowd, inscribed: 'To the fairest.' Hera, Athena, and Aphrodite all claimed it. To settle the dispute, Zeus chose Paris, prince of Troy, as judge. Each goddess offered him a gift. He chose Aphrodite, who promised him the most beautiful woman in the worldâ€”Helen of Sparta. But Helen was already married. When Paris took her, war broke out. The Greeks sailed for Troy, beginning a ten-year siege that would become legend.",,,,c. 1200 BC,greek
