id,title,description,journey_id,position,content_type,is_journey_module,image_url,chapter_id,status,era,level,xp_reward,duration,image_urls,story_content,transition_question,prompt
31,Constitution of Medina,"A key document that laid the foundation for governance in the newly established Muslim community in Medina, including rights and duties of Muslims and Jews.",5,5,Story,TRUE,,8,published,islam,1,50,5,,"<p>In the heart of Medina, Muhammad crafted a document that would change the world. The Constitution of Medina wasn’t just a set of laws; it was a blueprint for a society where Muslims, Jews, and other tribes could live together in peace. It guaranteed rights for all, upheld justice, and ensured that the community would stand united against external threats. It was a revolutionary vision, a vision of coexistence, and it marked the beginning of a new era where faith and governance were intertwined.</p>",,
32,"Battles of Badr, Uhud, and the Trench","Major battles in the early years of Islam, showcasing the struggle for survival and the defense of the nascent Muslim community.",5,6,Story,TRUE,,8,published,islam,1,50,5,,"<p>The early battles of Islam were not just battles of the sword—they were tests of faith. At Badr, against overwhelming odds, the Muslims stood firm. The victory was miraculous, a sign that God was with them. But the battle at Uhud showed them that victory wasn’t always guaranteed. Many lives were lost, and the community was shaken. The Muslims learned that victory required not just bravery, but patience and humility. And at the Trench, when the Meccans laid siege to Medina, the Muslims showed remarkable resilience and unity.</p>",,
33,The Treaty of Hudaybiyyah,"A peace agreement between the Muslims and Quraysh tribe of Mecca, which set the stage for the eventual conquest of Mecca.",5,7,Story,TRUE,,8,published,islam,1,50,5,,"<p>It was a moment of calm after years of struggle. The Treaty of Hudaybiyyah seemed like a compromise, but it was a victory in disguise. The treaty allowed the Muslims to return to Mecca the following year, to perform the pilgrimage that had been denied to them. For the first time in years, they could practice their faith without fear. And while the treaty seemed like a pause in the battle, it allowed the message of Islam to spread across the Arabian Peninsula, laying the foundation for the eventual conquest of Mecca.</p>",,
34,Conquest of Mecca,"The event where the Muslim forces peacefully entered Mecca, leading to the establishment of Islam in the city.",5,8,Story,TRUE,,8,published,islam,1,50,5,,"<p>The air was thick with anticipation as the Muslims marched toward Mecca. After years of opposition and exile, they were finally returning, not as refugees, but as conquerors. When they entered the city, it was not with the sound of swords clashing, but with peace. The idols were destroyed, and the Kaaba was purified. Mecca, the birthplace of Islam, was now the heart of the Muslim world. The conquest wasn’t just a military victory—it was the triumph of faith over oppression, and a testament to the power of patience and perseverance.</p>",,
35,Final Sermon and Muhammad’s Death,"Muhammad’s last sermon, where he outlined the principles of Islam, followed by his death and the subsequent leadership vacuum.",5,9,Story,TRUE,,8,published,islam,1,50,5,,"<p>In his final sermon, Muhammad stood on the plain of Arafat, looking out over the sea of believers. His message was simple: “All men are equal.” He spoke of justice, equality, and the rights of all people. His words were a culmination of a life dedicated to spreading peace. And then, as quietly as he had lived, Muhammad passed from this world. His death marked the end of an era, but his message—his legacy—would live on in the hearts of his followers, who now had the responsibility of continuing his work.</p>",,
36,Caliph Abu Bakr and the Ridda Wars,The first caliph's efforts to unify the Arabian Peninsula and suppress rebellions after Muhammad's death.,5,10,Story,TRUE,,8,published,islam,1,50,5,,"<p>Abu Bakr, the first caliph, faced one of the greatest challenges Islam had ever known: the Ridda Wars. After Muhammad’s death, many tribes turned away from Islam, seeking to break free from the unity that Muhammad had established. Abu Bakr was firm. He knew that the unity of the Muslim ummah was crucial. With unwavering determination, he led the charge to restore order, and through the Ridda Wars, he solidified Islam’s place in the Arabian Peninsula. His leadership ensured that Islam remained strong after Muhammad’s passing.</p>",,
37,Caliph Umar: Expansion and Administration,"The second caliph's period marked by territorial expansion and administrative reforms, leading to the rapid spread of Islam.",5,11,Story,TRUE,,8,published,islam,1,50,5,,"<p>Under Caliph Umar, the Islamic empire grew at an unprecedented rate. From Persia to the Byzantine Empire, Umar’s armies swept across the lands. But it wasn’t just conquest; it was governance. Umar established a system of justice, ensuring that all people, Muslim or non-Muslim, were treated fairly. His administrative reforms helped create a cohesive empire, where trade flourished and science advanced. Under his leadership, Islam became not just a religion, but the foundation of a vast and diverse empire.</p>",,
38,Caliph Uthman and the Compilation of the Quran,"Uthman’s leadership, which saw the compilation of the Quran into a standardized text and expansion into new territories.",5,12,Story,TRUE,,8,published,islam,1,50,5,,"<p>Under Uthman, the Quran was compiled into a single, standardized text. Before this, the Quran existed in various forms, each with its own slight variations. But Uthman, recognizing the importance of unity, ordered the collection of all the revelations into one book. This wasn’t just a religious act—it was a political one, ensuring the preservation of Islam’s message for generations to come. Uthman’s reign also saw the expansion of the Muslim empire, as the message of Islam continued to spread across the world.</p>",,
39,Caliph Ali and the First Fitna,"Ali’s caliphate and the first major civil war in Islam, which involved political, military, and religious conflicts within the Muslim community.",5,13,Story,TRUE,,8,published,islam,1,50,5,,"<p>Ali’s caliphate was marked by internal strife and the First Fitna. As the fourth caliph, Ali was faced with rebellion and division within the Muslim community. The assassination of Uthman had set the stage for a power struggle. The Battle of the Camel and the Battle of Siffin were not just military engagements; they were struggles for the soul of the Muslim community. Ali’s reign ended tragically with his assassination, but his legacy lives on in the hearts of Shi’a Muslims, who see him as the rightful heir to Muhammad’s leadership.</p>",,
40,Battle of Karbala and Rise of Shi'a Islam,"A defining event in Islamic history, where Husayn ibn Ali’s martyrdom at Karbala marked the rise of Shi'a Islam.",5,14,Story,TRUE,https://upload.wikimedia.org/wikipedia/commons/0/0e/Brooklyn_Museum_-_Battle_of_Karbala_-_Abbas_Al-Musavi_-_cropped.jpg,8,published,islam,1,50,5,,"<p>On the plains of Karbala, Husayn ibn Ali, the grandson of Muhammad, faced an army of overwhelming numbers. Husayn’s refusal to pledge allegiance to the Umayyad caliph Yazid was more than a political stand; it was a moral one. Husayn and his followers were slaughtered, and their martyrdom became a rallying cry for those who opposed tyranny. From the tragedy of Karbala, Shi’a Islam rose, with Husayn’s death symbolizing the struggle for justice against oppression and the importance of standing up for what is right, no matter the cost.</p>",,
